"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"59",64,0,0,0.0633519692222214,0.161278313004097,0.199999999999706,0.32606081527754,7.85275270104594,0,0,0.00195397080564545,0.00502667052909248,1.42482300988356
"60",65,0,0,0.0405111688615514,0.00072992878751704,0.199999999999995,0.0249770990393815,0.929317404495944,0,0,0.0249508800941859,0,0.930485707353648
"61",66,0,0,0.00164068992695094,3.78242614505172,0.200000001998518,1.91578269026368,10,0,0,1.91578277245224,0,10
"62",67,0,0,0.216639315080816,0,0.216643239615098,0.102460326322851,10,0,0,0,0,0.216643113519598
"63",68,0,0,-0.0137206714385136,148031.895733213,-8.19170813674923,63490337.4695377,-10,0,0,0.000846667888839895,0.818718775829228,-1.45936802433412
"64",69,0,0,0.0824709591941466,0.106058994100565,0.199999999999742,0.315461530159086,10,0,0,0.000628072729563727,0.00177128715825539,1.49728208404392
"65",70,0,0,-0.102185611251255,107577063.237595,3.14768184795009,0.00428997096005414,-1.19556405082205,0,0,1572.32476143441,1769.26982273012,-10
"66",71,0,0,-0.00254942621649621,1.44685053861331,0.200000000009114,2.28885851150437,8.0272839276722,0,0,0.000562143424249549,1.3139428211584,-0.204196650839887
"67",72,0,0,-0.00931087501040238,964608.980708416,10,302337.135241406,-5.70395444940752,0,0,1449.72865624824,1313.14618222354,-10
"68",73,0,0,-0.0607227716067148,0.000739643842493897,0.2,0.00238341142723873,-0.620537507487347,0,0,0.00227546358609506,0,-0.615060206242021
"69",74,0,0,-0.0266630985812579,711605.996641003,10,1.17475699721737,-10,0,0,3213.94020440992,3193.19722058685,-10
"70",75,0,0,0.358971322664768,0,0.358975887651044,0.00053402565331827,1.92727091073653,0,0,0,0,0.358975537675162
"71",76,0,0,0.00192587071633419,2767806.79617346,9.9999999618594,2.08900892690789,10,0,0,1500.7290041129,1457.32801460719,-10
"72",77,0,0,0.00906280456309899,3.0571441963381,0.200000000865803,1.24442129156355,10,0,0,1.24442013037365,0,10
"73",79,0,0,0.0556980224031785,0.00172839958325642,0.200000000002076,0.427109801451995,10,0,0,0.427110020172098,0,10
"74",80,0,0,-0.0273696233732226,0.454657192208819,0.19999999999276,0.105245378059211,-1.21605350773449,0,0,0,0.454657331942786,0.628922087887269
"75",82,0,0,-0.0652161261153979,0.000959998889035595,0.199999999999647,0.0150122278978278,-1.1753529978451,0,0,0,0.000393903101157125,0.457383801892542
"76",83,0,0,-0.00647685355102826,1.17715998631453,0.199999999940636,0.882304379412029,-0.119069278116209,0,0,0.882315017084505,0,-0.119048682046069
"77",84,0,0,-0.00847707271746441,2154147.8846902,10,928204.131605632,-9.99999816782824,0,0,1351.64637835502,1489.20888832031,-10
"78",85,0,0,-0.014082801247884,3.72488036809703,0.200000001885029,1.40778135263145,-7.82005322803855,0,0,0.352559749720589,0.254309895259566,-2.68144747236122
"79",86,0,0,-0.0132547116060804,0.0295971434997973,0.199999999996854,0.0187971432547772,-0.27875196391318,0,0,0,0.0295966518210626,0.874330738403682
"80",87,0,0,0.0151342238754658,1476216.74990516,0.58839762022396,1.09565451398473,10,0,0,2722.033841755,2417.12047613674,-10
"81",88,0,0,0.0494271932858172,810458.257024281,-10,0.480152345058792,10,0,0,0.000635142814847592,0.0140295016508491,1.13648959926087
"82",89,0,0,-0.0732007806680334,0.244383638861219,0.199999999998466,0.0562014448986344,-2.40509009598853,0,0,0,0.24438285676358,0.847402758395375
