"","workerData","model","softness","obedience","type","cross_validated","Nr"
"271",0,0.33333,"0","0","iterative","no",1
"272",0,1,"0","0","iterative","no",1
"273",0.9,1,"0","0","iterative","no",1
"274",0,0,"0","0","iterative","no",1
"275",0.56667,0.5,"0","0","iterative","no",1
"276",0.12903,0,"0","0","iterative","no",1
"277",0.66667,0,"0","0","iterative","no",1
"278",0.17391,0.66667,"0","0","iterative","no",1
"279",0.17391,0,"0","0","iterative","no",1
"280",0.66667,1,"0","0","iterative","no",1
"281",0.03571,0.33333,"0","0","iterative","no",1
"282",0.44118,0.33333,"0","0","iterative","no",1
"283",0.5,0.66667,"0","0","iterative","no",1
"284",0.25,0,"0","0","iterative","no",1
"285",1,1,"0","0","iterative","no",1
"286",0.3,0,"0","0","iterative","no",1
"287",0.2069,1,"0","0","iterative","no",1
"288",0.11429,0,"0","0","iterative","no",1
"289",0,0,"0","0","iterative","no",1
"290",0,0.33333,"0","0","iterative","no",1
"291",0,0,"0","0","iterative","no",1
"292",0,0,"0","0","iterative","no",1
"293",0.44444,1,"0","0","iterative","no",1
"294",0.41463,0,"0","0","iterative","no",1
"295",0.25,0,"0","0","iterative","no",1
"296",0.2381,0,"0","0","iterative","no",1
"297",0.09677,0,"0","0","iterative","no",1
"298",0.29032,0,"0","0","iterative","no",1
"299",0.06452,0,"0","0","iterative","no",1
"300",0.1,0,"0","0","iterative","no",1
"301",1,0.66667,"0","0","iterative","no",1
"302",0,0.33333,"0","0","iterative","no",1
"303",0,0,"0","0","iterative","no",1
"304",0.625,0.66667,"0","0","iterative","no",1
"305",0.04545,0,"0","0","iterative","no",1
"306",0.11111,0,"0","0","iterative","no",1
"307",0.39286,0,"0","0","iterative","no",1
"308",0.28571,0,"0","0","iterative","no",1
"309",0.04,0,"0","0","iterative","no",1
"310",0.63333,1,"0","0","iterative","no",1
"311",0.63333,1,"0","0","iterative","no",1
"312",0,0,"0","0","iterative","no",1
"313",0.41379,1,"0","0","iterative","no",1
"314",1,1,"0","0","iterative","no",1
"315",0.3125,0,"0","0","iterative","no",1
"316",0,0,"0","0","iterative","no",1
"317",0.69231,1,"0","0","iterative","no",1
