"","workerid","utterance","response","feedback","orig_obj1","orig_obj2","orig_obj3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3","uttFeat","targetFeat","obj1OC27","obj2OC27","obj3OC27","targetObject","object2","object3"
"40",2,"circle",3,"VeryGood",232,121,233,"circle","dotted","red","cloud","striped","blue","circle","dotted","green","color","green","blue","red",1,3,17,4,26,26,17,4
"41",3,"circle",1,"VeryGood",212,333,232,"circle","plain","red","square","dotted","green","circle","dotted","red","pattern","plain","dotted","striped",1,2,11,27,17,11,27,17
"42",3,"green",1,"VeryGood",313,231,333,"square","plain","green","circle","dotted","blue","square","dotted","green","pattern","plain","dotted","striped",3,2,21,8,27,21,8,27
"43",3,"blue",2,"VeryGood",122,211,221,"cloud","striped","red","circle","plain","blue","circle","striped","blue","pattern","plain","dotted","striped",3,2,13,2,5,2,13,5
"44",3,"cloud",1,"VeryGood",111,223,121,"cloud","plain","blue","circle","striped","green","cloud","striped","blue","pattern","plain","dotted","striped",1,2,1,23,4,1,23,4
"45",3,"red",1,"VeryGood",332,322,123,"square","dotted","red","square","striped","red","cloud","striped","green","pattern","plain","dotted","striped",3,2,18,15,22,18,15,22
"46",3,"red",3,"VeryGood",211,332,312,"circle","plain","blue","square","dotted","red","square","plain","red","pattern","plain","dotted","striped",3,2,2,18,12,12,2,18
"47",3,"red",2,"VeryGood",121,312,322,"cloud","striped","blue","square","plain","red","square","striped","red","pattern","plain","dotted","striped",3,2,4,12,15,12,4,15
"48",3,"green",1,"VeryGood",313,212,323,"square","plain","green","circle","plain","red","square","striped","green","pattern","plain","dotted","striped",3,2,21,11,24,21,11,24
"49",3,"blue",1,"VeryGood",311,122,321,"square","plain","blue","cloud","striped","red","square","striped","blue","pattern","plain","dotted","striped",3,2,3,13,6,3,13,6
"50",3,"circle",3,"VeryGood",221,313,231,"circle","striped","blue","square","plain","green","circle","dotted","blue","pattern","plain","dotted","striped",1,2,5,21,8,8,5,21
"51",3,"square",1,"VeryGood",311,233,321,"square","plain","blue","circle","dotted","green","square","striped","blue","pattern","plain","dotted","striped",1,2,3,26,6,3,26,6
"52",3,"square",2,"VeryGood",213,311,321,"circle","plain","green","square","plain","blue","square","striped","blue","pattern","plain","dotted","striped",1,2,20,3,6,3,20,6
"53",3,"red",1,"VeryGood",112,122,231,"cloud","plain","red","cloud","striped","red","circle","dotted","blue","pattern","plain","dotted","striped",3,2,10,13,8,10,13,8
"54",3,"square",2,"VeryGood",331,311,222,"square","dotted","blue","square","plain","blue","circle","striped","red","pattern","plain","dotted","striped",1,2,9,3,14,3,9,14
"55",3,"cloud",2,"VeryGood",313,112,122,"square","plain","green","cloud","plain","red","cloud","striped","red","pattern","plain","dotted","striped",1,2,21,10,13,10,21,13
"56",3,"cloud",2,"VeryGood",333,112,132,"square","dotted","green","cloud","plain","red","cloud","dotted","red","pattern","plain","dotted","striped",1,2,27,10,16,10,27,16
"57",3,"red",1,"Good",322,231,332,"square","striped","red","circle","dotted","blue","square","dotted","red","pattern","plain","dotted","striped",3,2,15,8,18,15,8,18
"58",3,"circle",1,"VeryGood",231,221,322,"circle","dotted","blue","circle","striped","blue","square","striped","red","pattern","plain","dotted","striped",1,2,8,5,15,8,5,15
"59",3,"green",1,"VeryGood",213,223,331,"circle","plain","green","circle","striped","green","square","dotted","blue","pattern","plain","dotted","striped",3,2,20,23,9,20,23,9
"60",3,"square",2,"VeryGood",333,313,131,"square","dotted","green","square","plain","green","cloud","dotted","blue","pattern","plain","dotted","striped",1,2,27,21,7,21,27,7
"61",4,"circle",1,"VeryGood",212,323,222,"circle","plain","red","square","striped","green","circle","striped","red","pattern","dotted","plain","striped",1,2,11,24,14,11,24,14
"62",4,"cloud",1,"VeryGood",132,122,233,"cloud","dotted","red","cloud","striped","red","circle","dotted","green","pattern","dotted","plain","striped",1,2,16,13,26,16,13,26
"63",4,"green",2,"Good",232,123,113,"circle","dotted","red","cloud","striped","green","cloud","plain","green","pattern","dotted","plain","striped",3,2,17,22,19,22,17,19
"64",4,"red",2,"VeryGood",323,232,222,"square","striped","green","circle","dotted","red","circle","striped","red","pattern","dotted","plain","striped",3,2,24,17,14,17,24,14
"65",4,"red",3,"Good",133,232,222,"cloud","dotted","green","circle","dotted","red","circle","striped","red","pattern","dotted","plain","striped",3,2,25,17,14,14,25,17
"66",4,"circle",1,"Good",211,332,231,"circle","plain","blue","square","dotted","red","circle","dotted","blue","pattern","dotted","plain","striped",1,2,2,18,8,2,18,8
"67",4,"circle",3,"Good",233,332,213,"circle","dotted","green","square","dotted","red","circle","plain","green","pattern","dotted","plain","striped",1,2,26,18,20,20,26,18
