"","workerData","model","softness","obedience","alpha","type","cross_validated","Nr"
"188",1,1,"0","0",NA,"simpleRSA","no",1
"189",0.835138990450015,1,"0","0",NA,"simpleRSA","no",1
"190",0.164861009549985,0,"0","0",NA,"simpleRSA","no",1
"191",1,1,"0","0",NA,"simpleRSA","no",1
"192",1,1,"0","0",NA,"simpleRSA","no",1
"193",0.52813443223663,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"194",0.2348973992663,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"195",0.23696816849707,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"196",0.591249030105686,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"197",0.207154715716388,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"198",0.201596254177926,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"199",0.641412044794741,0.5,"0.2","0",NA,"simpleRSA","no",2
"200",0.358587955205259,0.5,"0.2","0",NA,"simpleRSA","no",2
"201",0.553668707729589,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"202",0.229181461352053,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"203",0.217149830918357,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"204",0.687253842988556,0.5,"0.2","0",NA,"simpleRSA","no",2
"205",0.312746157011444,0.5,"0.2","0",NA,"simpleRSA","no",2
"206",0.664840132931327,0.5,"0.2","0",NA,"simpleRSA","no",2
"207",0.335159867068673,0.5,"0.2","0",NA,"simpleRSA","no",2
"208",0.624021260423737,0.5,"0.2","0",NA,"simpleRSA","no",2
"209",0.375978739576263,0.5,"0.2","0",NA,"simpleRSA","no",2
"210",0.48851529838035,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"211",0.24595646206283,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"212",0.26552823955682,0.333333333333333,"0.2","0",NA,"simpleRSA","no",2
"213",0.67750013000299,0.5,"0.2","0",NA,"simpleRSA","no",2
"214",0.32249986999701,0.5,"0.2","0",NA,"simpleRSA","no",2
"215",0.63751035000075,0.5,"0.2","0",NA,"simpleRSA","no",2
"216",0.36248964999925,0.5,"0.2","0",NA,"simpleRSA","no",2
"217",0.533657351422031,0.5,"0.2","0",NA,"simpleRSA","no",2
"218",0.466342648577969,0.5,"0.2","0",NA,"simpleRSA","no",2
"219",0.59451121856879,0.5,"0.2","0",NA,"simpleRSA","no",2
"220",0.40548878143121,0.5,"0.2","0",NA,"simpleRSA","no",2
"221",0.684515798686279,0.5,"0.2","0",NA,"simpleRSA","no",2
"222",0.315484201313721,0.5,"0.2","0",NA,"simpleRSA","no",2
"223",0.696586845262322,0.5,"0.2","0",NA,"simpleRSA","no",2
