"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"78","333","313","313","313","21","21","21","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"79","22a2a","112","233","233","10","26","26","0.135","0.198","0.125","0.188","0.146","0.208","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"80","322b","213","212","313","20","11","21","0.06","0.194","0.284","0.194","0.269","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"81","22a2a","223","223","331","23","23","9","0.126","0.189","0.137","0.2","0.137","0.211","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"82","22a2a","123","123","311","22","22","3","0.126","0.211","0.126","0.2","0.126","0.211","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"83","321","233","131","132","26","7","16","0.043","0.204","0.14","0.204","0.204","0.204","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"84","322a","212","221","221","11","5","5","0.082","0.205","0.26","0.178","0.274","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"85","22a2b","222","332","333","14","18","27","0.146","0.194","0.146","0.184","0.146","0.184","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"86","322a","223","313","313","23","21","21","0.077","0.231","0.244","0.205","0.244","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"87","22b2b","212","132","113","11","16","19","0.133","0.181","0.162","0.181","0.181","0.162","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"88","22a2a","123","211","211","22","2","2","0.128","0.202","0.128","0.213","0.128","0.202","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"89","211","131","221","312","7","5","12","0.087","0.128","0.134","0.134","0.128","0.128","0.134","0.128","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"90","211","213","123","332","20","22","18","0.088","0.135","0.128","0.128","0.128","0.128","0.135","0.128","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"91","211","311","121","232","3","4","17","0.128","0.167","0.154","0.205","0.038","0.051","0.192","0.064","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"92","331","112","212","312","10","11","12","0.135","0.135","0.351","0.324","0.054","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"93","321","121","131","211","4","7","2","0.164","0.045","0.254","0.075","0.224","0.239","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"94","22a2a","321","113","113","6","19","19","0.186","0.237","0.034","0.169","0.288","0.085","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"95","22a2a","232","121","121","17","4","4","0.046","0.231","0.277","0.231","0.138","0.077","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"96","111","332","111","223","18","1","23","0.019","0.168","0.14","0.131","0.168","0.112","0.047","0.056","0.159","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"97","321","322","321","333","15","6","27","0.25","0.094","0.094","0.031","0.25","0.281","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"98","22b1","232","312","221","17","12","5","0.176","0.044","0.206","0.191","0.029","0.25","0.103","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"99","333","131","131","131","7","7","7","0.115","0.692","0.192","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"100","332","132","132","232","16","16","17","0.312","0.396","0.083","0.208","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"101","22a2a","222","311","311","14","3","3","0.169","0.119","0.068","0.085","0.254","0.305","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"102","322b","123","133","131","22","25","7","0.34","0.02","0.12","0.22","0.3","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"103","332","311","311","313","3","3","21","0.081","0.351","0.162","0.405","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"104","22b2b","313","332","112","21","18","10","0.034","0.254","0.153","0.186","0.051","0.322","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"105","22a2b","223","323","332","23","24","18","0.2","0.107","0.2","0.04","0.213","0.24","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"106","331","323","333","313","24","27","21","0","0","0.426","0.319","0.255","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"107","22a2a","112","112","321","10","10","6","0","0.263","0.158","0.211","0.158","0.211","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"108","332","212","232","232","11","17","17","0","0","0.588","0.412","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"109","311","311","113","212","3","19","11","0","0.167","0.167","0.167","0.167","0.167","0.167","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"110","322a","331","312","312","9","12","12","0","0.218","0.218","0.218","0.345","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"111","321","323","331","311","24","9","3","0","0.211","0.211","0.211","0.282","0.085","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"112","333","221","221","221","5","5","5","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"113","111","332","223","111","18","23","1","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"114","22a2a","113","322","322","19","15","15","0.1","0.25","0.1","0.2","0.1","0.25","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
