"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"115","211","233","112","311","26","10","3","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"116","22a1","312","212","121","12","11","4","0.083","0.167","0.083","0.167","0.167","0.167","0.167","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"117","321","323","331","311","24","9","3","0","0.224","0.224","0.224","0.224","0.104","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"118","333","213","213","213","20","20","20","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"119","22b1","311","212","233","3","11","26","0.143","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"120","332","322","332","332","15","18","18","0","0","0.645","0.355","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"121","333","131","131","131","7","7","7","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"122","22a1","111","232","222","1","17","14","0","0.2","0","0.2","0.2","0.2","0.2","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"123","332","333","133","133","27","25","25","0","0","1","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"124","331","221","231","211","5","8","2","0","0","0.333","0.333","0.333","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"125","22a2a","312","233","233","12","26","26","0","0.286","0.143","0.286","0","0.286","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"126","22a2a","323","323","131","24","24","7","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"127","332","312","312","332","12","12","18","0","0","0.385","0.615","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"128","333","233","233","233","26","26","26","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"129","332","323","323","123","24","24","22","0","0","0.238","0.762","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"130","321","212","112","332","11","10","18","0","0","0.25","0.25","0.25","0.25","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"131","322b","123","113","223","22","19","23","0","0.176","0.412","0","0.412","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"132","321","323","121","221","24","4","5","0","0.25","0.25","0.25","0.25","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"133","22a1","123","133","311","22","25","3","0","0.2","0","0.2","0.2","0.2","0.2","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"134","22a1","133","132","311","25","16","3","0","0.2","0","0.2","0.2","0.2","0.2","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"135","333","332","332","332","18","18","18","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"136","322b","233","133","113","26","25","19","0.333","0.217","0.117","0.217","0.117","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"137","333","332","332","332","18","18","18","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"138","333","331","331","331","9","9","9","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"139","322a","223","313","313","23","21","21","0.333","0.233","0.1","0.233","0.1","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"140","22a2a","331","331","222","9","9","14","0.228","0.105","0.228","0.105","0.228","0.105","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"141","22a1","111","233","333","1","26","27","0.264","0.094","0.264","0.094","0.094","0.094","0.094","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"142","22a2b","223","323","331","23","24","9","0.228","0.105","0.228","0.105","0.228","0.105","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"143","22a2b","321","312","221","6","12","5","0.233","0.1","0.233","0.1","0.233","0.1","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"144","322b","332","331","321","18","9","6","0.333","0.233","0.1","0.233","0.1","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"145","322a","211","233","233","2","26","26","0.345","0.224","0.103","0.224","0.103","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"146","22a2a","223","132","132","23","16","16","0.241","0.093","0.241","0.093","0.241","0.093","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"147","22b2b","323","331","133","24","9","25","0.246","0.088","0.246","0.088","0.088","0.246","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"148","321","213","231","221","20","8","5","0.345","0.103","0.103","0.103","0.103","0.241","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"149","322a","331","331","121","9","9","4","0.333","0.233","0.1","0.233","0.1","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"150","22a2a","222","131","131","14","7","7","0.246","0.088","0.246","0.088","0.246","0.088","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"151","333","223","223","223","23","23","23","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"152","22a2a","221","333","333","5","27","27","0","0.333","0","0.333","0","0.333","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"153","321","132","123","113","16","22","19","0.333","0","0.333","0","0","0.333","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"154","22a1","332","211","111","18","2","1","0.333","0","0.333","0","0","0.333","0","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"155","333","113","113","113","19","19","19","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"156","333","211","211","211","2","2","2","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"157","321","111","123","133","1","22","25","0.333","0.333","0","0","0.333","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"158","22b1","131","332","211","7","18","2","0.339","0","0","0.322","0","0","0.339","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"159","211","313","112","231","21","10","8","0","0.333","0","0","0.333","0","0","0.333","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"160","22b1","312","211","223","12","2","23","0","0.333","0.333","0","0","0.333","0","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"161","311","322","212","132","15","11","16","0.333","0.333","0","0","0.333","0","0","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"162","111","332","221","113","18","5","19","0","0.333","0","0","0.333","0","0","0.333","0","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"163","311","311","323","332","3","24","18","0.333","0","0","0.333","0","0","0.333","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"164","22b1","333","232","123","27","17","22","0","0.333","0.333","0","0","0.333","0","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"165","322a","133","112","112","25","10","10","0.333","0","0.333","0","0.333","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"166","22b1","321","332","133","6","18","25","0.187","0.165","0.11","0.099","0.165","0.132","0.143","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"167","333","332","332","332","18","18","18","0.383","0.34","0.277","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"168","211","132","323","221","16","24","5","0.038","0.1","0.138","0.125","0.1","0.162","0.15","0.188","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"169","22b2b","232","133","112","17","25","10","0.156","0.091","0.195","0.182","0.195","0.182","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"170","111","211","122","333","2","13","27","0.12","0.111","0.139","0.157","0.037","0.157","0.12","0.046","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"171","211","213","123","332","20","22","18","0","0.304","0.13","0","0.065","0.283","0.196","0.022","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"172","332","312","312","332","12","12","18","0.412","0.118","0.118","0.353","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"173","22b2b","212","223","322","11","23","15","0.258","0.212","0.121","0.091","0.03","0.288","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"174","211","232","112","321","17","10","6","0.051","0.076","0.152","0.114","0.177","0.19","0.076","0.165","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"175","22a2b","323","333","132","24","27","16","0.117","0.233","0.133","0.2","0.25","0.067","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"176","333","233","233","233","26","26","26","0.438","0.188","0.375","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"177","321","311","322","332","3","15","18","0.227","0.093","0.187","0.173","0.147","0.173","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"178","111","322","233","111","15","26","1","0.046","0.064","0.101","0.119","0.073","0.147","0.183","0.101","0.165","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"179","22a2a","322","322","111","15","15","1","0.165","0.174","0.174","0.157","0.165","0.165","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"180","22b1","321","223","133","6","23","25","0.154","0.131","0.138","0.154","0.154","0.131","0.138","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"181","311","113","121","132","19","4","16","0.14","0.132","0.157","0.149","0.132","0.124","0.165","-1","-1","0.171","0.138","0.138","0.138","0.138","0.138","0.138","-1","-1","0.144","0.143","0.143","0.143","0.143","0.143","0.143","-1","-1"
"182","333","111","111","111","1","1","1","0.298","0.383","0.319","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"183","322b","212","213","112","11","20","10","0.183","0.183","0.232","0.195","0.207","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"184","22b1","231","132","321","8","16","6","0.128","0.137","0.12","0.154","0.145","0.145","0.171","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"185","321","231","232","223","8","17","23","0.131","0.162","0.182","0.202","0.172","0.152","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"186","322b","133","233","113","25","26","19","0.167","0.218","0.218","0.192","0.205","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"187","322b","112","122","123","10","13","22","0.225","0.188","0.225","0.188","0.175","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"188","22a2a","332","332","121","18","18","4","0.192","0.192","0.182","0.152","0.141","0.141","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"189","22a2a","221","333","333","5","27","27","0.143","0.173","0.143","0.184","0.163","0.194","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"190","22a2a","222","222","331","14","14","9","0.146","0.198","0.188","0.146","0.177","0.146","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"191","22a2b","332","131","111","18","7","1","0.162","0.182","0.152","0.141","0.172","0.192","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"192","22a2b","113","233","232","19","26","17","0.157","0.186","0.147","0.176","0.186","0.147","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"193","22a2a","312","233","233","12","26","26","0.188","0.146","0.188","0.167","0.146","0.167","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"194","321","312","321","323","12","6","24","0.149","0.158","0.188","0.178","0.168","0.158","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"195","322b","221","231","321","5","8","6","0.207","0.183","0.207","0.171","0.232","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"196","111","231","313","122","8","21","13","0.126","0.068","0.126","0.165","0.068","0.136","0.117","0.068","0.126","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"197","22a2a","113","232","232","19","17","17","0.187","0.2","0.16","0.08","0.2","0.173","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
