"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"170","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","232","313","313","17","21","21"
"171","0.267","0.267","0.2","0.266","-1","-1","-1","-1","-1","332","212","212","222","11","11","14"
"172","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","223","223","223","23","23","23"
"173","0.237","0.237","0.175","0.175","0.175","-1","-1","-1","-1","331","323","333","313","24","27","21"
"174","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","213","213","131","20","20","7"
"175","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","311","233","122","3","26","13"
"176","0.192","0.148","0.15","0.18","0.15","0.18","-1","-1","-1","22a2b","313","113","121","21","19","4"
"177","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","213","213","213","20","20","20"
"178","0.15","0.18","0.15","0.18","0.192","0.148","-1","-1","-1","22a2b","323","322","113","24","15","19"
"179","0.192","0.148","0.15","0.18","0.15","0.18","-1","-1","-1","22a2b","222","122","113","14","13","19"
"180","0.161","0.141","0.161","0.141","0.116","0.141","0.141","-1","-1","22b1","213","231","112","20","8","10"
"181","0.277","0.197","0.165","0.197","0.165","-1","-1","-1","-1","322b","313","312","112","21","12","10"
"182","0.185","0.13","0.185","0.13","0.107","0.13","0.13","-1","-1","22b1","131","123","322","7","22","15"
"183","0.277","0.197","0.165","0.197","0.165","-1","-1","-1","-1","322b","232","332","233","17","18","26"
"184","0.287","0.124","0.124","0.153","0.16","0.153","-1","-1","-1","321","131","331","233","7","9","26"
"185","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","133","311","222","25","3","14"
"186","0.287","0.153","0.16","0.153","0.124","0.124","-1","-1","-1","321","223","113","313","23","19","21"
"187","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","233","233","233","26","26","26"
"188","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","113","321","321","19","6","6"
"189","0.225","0.135","0.156","0.164","0.156","0.164","-1","-1","-1","22a2b","211","111","132","2","1","16"
"190","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","211","211","211","2","2","2"
"191","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","212","212","212","11","11","11"
"192","0.115","0.115","0.136","0.115","0.115","0.136","0.133","0.136","-1","211","321","132","212","6","16","11"
"193","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","312","233","233","12","26","26"
"194","0.182","0.152","0.182","0.152","0.152","0.182","-1","-1","-1","22b2b","332","323","133","18","24","25"
"195","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","332","223","111","18","23","1"
"196","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","223","331","112","23","9","10"
"197","0.118","0.144","0.144","0.153","0.144","0.153","0.144","-1","-1","22b1","121","222","331","4","14","9"
"198","0.26","0.26","0.274","0.206","-1","-1","-1","-1","-1","332","313","323","323","21","24","24"
"199","0.149","0.184","0.149","0.184","0.182","0.152","-1","-1","-1","22a2b","223","222","312","23","14","12"
"200","0.115","0.115","0.136","0.133","0.136","0.115","0.115","0.136","-1","211","222","111","313","14","1","21"
"201","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","232","232","232","17","17","17"
"202","0.014","0.256","0.054","0.311","0.054","0.311","-1","-1","-1","22a2b","132","111","332","16","1","18"
"203","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","123","123","312","22","22","12"
"204","0.003","0.261","0.212","0.212","0.261","0.05","-1","-1","-1","321","123","313","333","22","21","27"
"205","0.018","0.316","0.018","0.316","0.316","0.018","-1","-1","-1","22b2b","131","211","112","7","2","10"
"206","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","332","223","111","18","23","1"
"207","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","313","131","131","21","7","7"
"208","0.166","0.201","0.201","0.015","0.201","0.015","0.201","-1","-1","22b1","121","222","331","4","14","9"
"209","0.166","0.201","0.201","0.015","0.201","0.015","0.201","-1","-1","22b1","313","223","112","21","23","10"
"210","0.015","0.201","0.166","0.201","0.201","0.015","0.201","-1","-1","22b1","233","211","323","26","2","24"
"211","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","122","311","233","13","3","26"
"212","0.116","0.116","0.136","0.127","0.136","0.116","0.116","0.136","-1","211","133","232","311","25","17","3"
"213","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","132","211","211","16","2","2"
"214","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","231","322","113","8","15","19"
"215","0.208","0.152","0.244","0.152","0.244","-1","-1","-1","-1","322a","122","223","223","13","23","23"
"216","0.116","0.116","0.136","0.127","0.136","0.116","0.116","0.136","-1","211","212","113","321","11","19","6"
"217","0.188","0.181","0.147","0.147","0.181","0.156","-1","-1","-1","321","223","322","122","23","15","13"
"218","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","122","333","211","13","27","2"
"219","0.213","0.191","0.202","0.191","0.202","-1","-1","-1","-1","322b","333","323","321","27","24","6"
"220","0.174","0.155","0.147","0.189","0.147","0.189","-1","-1","-1","22a2b","131","123","223","7","22","23"
"221","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","113","113","321","19","19","6"
"222","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","331","331","331","9","9","9"
"223","0.292","0.292","0.179","0.238","-1","-1","-1","-1","-1","332","132","132","332","16","16","18"
"224","0.144","0.162","0.113","0.113","0.162","0.144","0.162","-1","-1","22a1","222","232","113","14","17","19"
"225","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","232","313","313","17","21","21"
"226","0.156","0.162","0.23","0.133","0.156","0.162","-1","-1","-1","22a2b","211","231","333","2","8","27"
"227","0.304","0.134","0.214","0.134","0.214","-1","-1","-1","-1","322a","211","121","121","2","4","4"
"228","0.23","0.133","0.156","0.162","0.156","0.162","-1","-1","-1","22a2b","233","333","322","26","27","15"
"229","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","122","213","213","13","20","20"
"230","0.189","0.129","0.106","0.129","0.129","0.189","0.129","-1","-1","22b1","133","122","313","25","13","21"
"231","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","323","323","112","24","24","10"
"232","0.118","0.215","0.118","0.215","0.118","0.215","-1","-1","-1","22a2a","321","113","113","6","19","19"
"233","0.436","0.436","0.043","0.043","0.043","-1","-1","-1","-1","331","131","231","331","7","8","9"
"234","0.746","0.095","0.044","0.036","0.036","0.044","-1","-1","-1","321","131","132","333","7","16","27"
"235","0.746","0.095","0.044","0.036","0.036","0.044","-1","-1","-1","321","312","313","321","12","21","6"
"236","0.701","0.058","0.092","0.058","0.092","-1","-1","-1","-1","322a","212","212","113","11","11","19"
"237","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","333","233","233","233","26","26","26"
"238","0.467","0.065","0.155","0.079","0.155","0.079","-1","-1","-1","22a2b","322","331","131","15","9","7"
"239","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","111","321","112","233","6","10","26"
"240","0.701","0.058","0.092","0.058","0.092","-1","-1","-1","-1","322a","211","211","331","2","2","9"
"241","0.167","0.167","0.381","0.286","-1","-1","-1","-1","-1","332","133","113","113","25","19","19"
"242","0.167","0.167","0.381","0.286","-1","-1","-1","-1","-1","332","111","131","131","1","7","7"
